HBL Bank - Account Statement
Account Number: PK36HABB0000123456789012
Statement Period: 01-Jan-2021 to 31-Dec-2025

Txn Date,Value Date,Description,Debit,Credit,Balance
01-Jan-2021,01-Jan-2021,SALARY CREDIT ACME TECH PVT LTD,,"200,000.00",
01/01/2021,01/01/2021,POS PURCHASE 3804 HYPERSTAR LHR,"7,102.00",,
01/01/2021,01/01/2021,FOODPANDA PK LAHORE 453826,"1,386.00",,
02/01/2021,02/01/2021,MONTHLY RENT PAYMENT IBFT,"55,000.00",,
02-Jan-2021,02-Jan-2021,FOODPANDA PK LAHORE 537018,"1,727.00",,
02/01/2021,02/01/2021,SHELL FUEL DHA LHR 9377,"5,883.00",,
02/01/2021,02/01/2021,CAREEM RIDE PK 77204,"912.00",,
03/01/2021,03/01/2021,PIZZA HUT DHA LHR 818073,"1,813.00",,
03-Jan-2021,03-Jan-2021,KFC GULBERG LHR 582210,"2,642.00",,
03/01/2021,03/01/2021,CAREEM RIDE PK 83361,"452.00",,
04/01/2021,04/01/2021,POS PURCHASE 2945 METRO CASH CARRY LHR,"3,924.00",,
04/01/2021,04/01/2021,PIZZA HUT DHA LHR 329222,"1,522.00",,
04-Jan-2021,04-Jan-2021,PIZZA HUT DHA LHR 179242,"2,877.00",,
04/01/2021,04/01/2021,SHELL FUEL DHA LHR 9095,"4,591.00",,
05/01/2021,05/01/2021,NETFLIX.COM 8829,"1,499.00",,
05/01/2021,05/01/2021,POS PURCHASE 2418 AL-FATAH STORE LHR,"7,472.00",,
05-Jan-2021,05-Jan-2021,POS PURCHASE 9575 HYPERSTAR LHR,"3,144.00",,
05/01/2021,05/01/2021,CAREEM RIDE PK 81476,"338.00",,
06/01/2021,06/01/2021,POS PURCHASE 8237 METRO CASH CARRY LHR,"5,622.00",,
06/01/2021,06/01/2021,POS PURCHASE 3910 HYPERSTAR LHR,"2,692.00",,
06-Jan-2021,06-Jan-2021,FOODPANDA PK LAHORE 625580,"1,678.00",,
