HBL Bank - Account Statement
Account Number: PK36HABB0000123456789012
Statement Period: 01-Jan-2025 to 30-Apr-2025
Generated On: 02-May-2025

Txn Date,Value Date,Description,Debit,Credit,Balance
01/01/2025,01/01/2025,Opening Balance,,,"125,300.00"
01-Jan-2025,01-Jan-2025,SALARY CREDIT ACME TECH PVT LTD,,"200,000.00",
01/01/2025,01/01/2025,POS PURCHASE 5506 IMTIAZ SUPER MARKET LHR,"3,328.00",,
01/01/2025,01/01/2025,POS PURCHASE 5506 IMTIAZ SUPER MARKET LHR,"3,328.00",,
02/01/2025,02/01/2025,MONTHLY RENT PAYMENT IBFT,"55,000.00",,
02-Jan-2025,02-Jan-2025,POS PURCHASE 1488 IMTIAZ SUPER MARKET LHR,"3,291.00",,
04/01/2025,04/01/2025,PSO FILLING STATION LHR 7224,"4,396.00",,
04/01/2025,04/01/2025,CAREEM RIDE PK 59615,380.00,,
05/01/2025,05/01/2025,NETFLIX.COM 8829,"PKR 1,499.00",,
05-Jan-2025,05-Jan-2025,POS PURCHASE 2679 AL-FATAH STORE LHR,"7,567.00",,
05/01/2025,05/01/2025,FOODPANDA PK LAHORE 900581,"1,978.00",,
07/01/2025,07/01/2025,K-ELECTRIC BILL PAYMENT 1LINK,"11,238.00",,
08/01/2025,08/01/2025,POS PURCHASE 9279 AL-FATAH STORE LHR,"1,717.00",,
10-Jan-2025,10-Jan-2025,SPOTIFY P1234567,349.00,,
12/01/2025,12/01/2025,JAZZ PREPAID LOAD *345,"1,000.00",,
12/01/2025,12/01/2025,,"2,500.00",,
12/01/2025,12/01/2025,SHELL FUEL DHA LHR 5333,"7,305.00",,
14-Jan-2025,14-Jan-2025,FOODPANDA PK LAHORE 571029,"1,739.00",,
15/01/2025,15/01/2025,SSGC GAS BILL 1LINK,"2,228.00",,
18/01/2025,18/01/2025,PTCL BILL 1LINK 0042,"3,100.00",,
18/01/2025,18/01/2025,POS PURCHASE 2424 AL-FATAH STORE LHR,"4,956.00",,
18-Jan-2025,18-Jan-2025,FOODPANDA PK LAHORE 850800,"2,832.00",,
18/01/2025,18/01/2025,CAREEM RIDE PK 48427,670.00,,
19/01/2025,19/01/2025,ATM WITHDRAWAL 4150 GULBERG LHR,"11,139.00",,
19/01/2025,19/01/2025,DARAZ.PK ORDER 5567123,"5,309.00",,
23-Jan-2025,23-Jan-2025,KFC GULBERG LHR 456778,"1,738.00",,
24/01/2025,24/01/2025,CAREEM RIDE PK 70217,849.00,,
26/01/2025,26/01/2025,FOODPANDA PK LAHORE 895667,"1,253.00",,
01/02/2025,01/02/2025,SALARY CREDIT ACME TECH PVT LTD,,"200,000.00",
02-Feb-2025,02-Feb-2025,MONTHLY RENT PAYMENT IBFT,"55,000.00",,
